Column 1,Id,audit_year,Country,Hospital.Site,Hospital.Beds..HC.,Diabetic.Patients..BA.,Prevalence.of.diabetes,Percentage.White,Percentage.emergency,Percentage.Mangement.of.diabetes,Percentage.other.medical,Percentage.Non.Medical,Percentage.Diabetes.Type.1,Percentage.Diabetes.Type.2...Insulin,Percentage.Diabetes.Type.2...Non.insulin,Percentage.Diabetes.Type.2...Diet.only,Percentage.Diabetes.Type.Other,Nursing.hours,Consultant.hours,Dietician.hours,Podiatrist.hours,Blood.Glucose.monitoring.Days,Appropriate.Days,Good.Diabetes.Days,Visit.by.specialist.diabetes.team,Medication.errors,prescription.errors,management.errors,Insulin.Errors,Admitted.with.foot.disease,Seen.by.the.MDT.within.24.hours,Foot.Risk.Assessment.completed.within.24.hours,Foot.Risk.Assessment.completed.during.the.hospital.stay,X..Severe.Hypo,X..Minor.Hypo,Meals.Suitable,Meals.Timing,Meals.Choice,Staff.Knowledge...Answer.Qs,Staff.Knowledge...Emotional.support,Staff.Knowledge...Work.together,Overall.Satisfaction,Patient.reported.unexpected.high,Patient.reported.unexpected.low,Able.to.take.control.of.diabetes.care,Staff.aware.of.diabetes,some.all.or.most.staff.know.enough.about.diabetes,Percentage.renal.replacement.therapy,Prin1,Prin2,Prin3,Prin4,Prin5,Prin6,Prin7,Prin8,Prin9,Prin10
848,849,2015,England,Hospital,503,92,0.1829,0.9348,0.837,0.163,0.6739,0.163,0.0667,0.4111,0.3111,0.1889,0.0222,0.0323,0.55,0.28,0.26,0.0683,0.0659,0.0402,0.5114,0.3867,0.2267,0.2,0.2667,0.2308,0.0455,0.2667,0.2778,0.0805,0.2184,0.714,0.6147,0.3379,0.978,0.615,0.542,0.9458,0.333,0.148,0.5041,0.913,0.549,0.1522,-1.525603154,-0.941905402,2.3489644172,0.2204224568,-0.498213583,0.0573396811,1.8225168317,-0.834233431,-0.81748575,-1.289826997
849,850,2015,England,Hospital,593,99,0.1669,0.9596,0.9592,0.0825,0.7526,0.1649,0.043,0.2688,0.5269,0.1613,0,0.0131,0.0113,0.25,0.09,0.0672,0.0627,0.0401,0.4382,0.6029,0.4853,0.2794,0.25,0.0625,0.25,0.2165,0.2474,0.125,0.1429,0.667,0.6791,0.5876,0.821,0.754,0.52,0.6752,0.344,0.273,0.5179,0.9082,0.5213,0,-2.812334578,-1.064026592,-0.078606112,0.7173373966,0.1738427463,0.6055681694,-0.324427424,-0.921649886,-0.116820594,-1.638094171
850,851,2015,England,Hospital,636,115,0.1808,0.9565,0.8435,0.1504,0.7345,0.115,0.1835,0.3303,0.3119,0.156,0.0183,0.0228,0.0139,0.5,0.5,0.0686,0.0674,0.0527,0.4455,0.1724,0.0345,0.1379,0.1264,0.1304,0.9375,0.8772,0.8772,0.1481,0.1875,0.875,0.7121,0.6688,0.8752,0.915,0.333,0.9192,0,0.171,0.7453,0.9085,0.8178,0.0696,3.808643462,-1.888340857,2.4675411471,1.2778751538,2.5309515016,0.8788746234,0.3928571897,0.6597594307,0.3551055373,-0.70964422
851,852,2015,England,Hospital,661,81,0.1225,0.8889,0.7564,0.05,0.6875,0.2625,0.1299,0.2857,0.4545,0.0909,0.039,0.023,0.49,0.74,0.0107,0.0667,0.0606,0.0388,0.6301,0.2794,0.1471,0.1618,0.1618,0.1026,0.4286,0.4231,0.4872,0.0882,0.1471,0.813,0.8067,0.4119,0.9563,0.894,0.25,0.8733,0.177,0.158,0.5716,0.9684,0.7353,0.0633,1.2483130308,-1.82282487,1.1701182764,0.8697933095,0.7009188562,0.0287934137,1.9624178425,-0.582592706,-1.001539303,-0.508491676
852,853,2015,England,Hospital,385,52,0.1351,1,0.8077,0.1923,0.5192,0.2885,0.0577,0.5,0.1538,0.2885,0,0.0279,0.0131,0.72,0.37,0.07,0.07,0.07,1,0.4444,0.4444,0,0.3056,0.2308,1,0.9423,0.9423,0.0392,0.1373,0.889,0.656,0.6523,0.8881,0.935,0.635,0.7443,0.121,0,0.5089,0.7272,0.5866,0.0192,1.5558171475,-2.741100265,3.9969809102,2.9997246683,3.0168960483,-0.077693023,-2.617404158,0.3990481442,0.8565094071,-2.707575931
853,854,2015,England,Hospital,282,49,0.1738,0.5102,0.9388,0,0.8367,0.1633,0.0204,0.2449,0.551,0.1837,0,0.0215,0.61,0.8,0.49,0.0642,0.0635,0.0485,0.2041,0.4722,0.2222,0.3056,0.1667,0.0204,0.5,0.5306,0.7143,0.05,0.1818,0.72,0.3935,0.3659,0.945,0.609,0.521,1,0.095,0.101,0.7602,0.847,0.7046,0.0204,-0.698229601,-2.826912057,2.5384726838,1.4405267644,0.5496707373,-0.513559786,1.482282403,-0.885700907,-0.507139469,1.3364649166
854,855,2015,England,Hospital,383,48,0.1253,0.9792,0.9167,0.0625,0.875,0.0625,0.0208,0.2708,0.4167,0.2708,0.0208,0.0313,0.88,0.0135,0.42,0.0698,0.0666,0.0541,0.5106,0.4583,0.2083,0.3333,0.1667,0.125,0.1667,0.2708,0.3542,0.0667,0.2353,0.846,0.6505,0.5489,0.7875,1,0.434,0.8005,0.235,0.231,0.7119,0.7508,0.5057,0,-0.593177137,-2.184095204,1.5875640916,1.1092733543,-0.968135058,0.1572930453,-0.572223892,-0.166925115,-0.353923579,0.0087240966
855,856,2015,England,Hospital,301,49,0.1628,0.9388,0.9167,0.0816,0.7143,0.2041,0.125,0.25,0.3958,0.2292,0,0.0209,0.41,0.77,0.0143,0.0682,0.0673,0.0472,0.2917,0.3333,0.1944,0.2222,0.25,0.1224,0.5,0.1837,0.2245,0.1667,0.1875,0.817,0.7851,0.5411,0.7896,1,0.387,0.8231,0.182,0.25,0.6923,0.8855,0.3707,0,-0.127880116,-2.059520874,0.4488328125,0.5289855819,-1.465437429,0.967956551,-0.063395774,-0.156938413,0.576216982,0.4421366685
856,857,2015,England,Site,330,41,0.1242,0.9512,0.7561,0,0.8049,0.1951,0.0732,0.122,0.561,0.2195,0.0244,0.0137,0.59,0.2,0.29,0.0674,0.065,0.0543,0.1111,0.2083,0.0833,0.125,0,0,0.25,0.2162,0.3784,0.0313,0.2121,0.8,0.5554,0.3052,0.7961,0.891,0.683,0.8889,0.07,0.264,0.5768,1,0.9616,0,2.464850512,-0.83768273,1.7854162418,0.0072927957,-1.944619943,0.5825954091,1.9055717349,-0.748106154,-2.148167185,0.5074457214
857,858,2015,England,Hospital,349,49,0.1404,0.9796,0.8776,0.0408,0.9184,0.0408,0.0417,0.2917,0.3542,0.2917,0.0208,0.0264,0.0115,0.86,0.0122,0.068,0.0662,0.0433,0.4318,0.4643,0.2857,0.2857,0.25,0.0222,0,0.0889,0.1111,0.1818,0.25,0.778,0.6111,0.592,0.9422,0.77,0.465,0.7729,0,0.133,0.5592,0.8251,0.7129,0,-1.487209543,-0.917536569,0.6999314772,1.2685070368,-1.859345438,0.317705579,0.1794451856,-0.857482803,0.2099603659,-1.117279165
858,859,2015,England,Hospital,1092,158,0.1447,0.9367,0.7595,0.0886,0.7405,0.1709,0.039,0.2857,0.4416,0.1558,0.0779,0.8,0.17,0.27,0.03,0.0682,0.0666,0.0556,0.3987,0.3917,0.2167,0.225,0.2333,0.1076,0.8824,0.6494,0.6688,0.0703,0.2252,0.778,0.5876,0.5338,0.7649,1,0.412,0.8428,0.25,0.24,0.6483,0.802,0.6642,0.019,0.2174383992,-1.500917532,1.5447548569,-0.031229925,2.6989397757,2.5582089386,-0.532573465,0.8480929098,-0.813198539,0.589770915
859,860,2015,England,Hospital,487,87,0.1786,0.9195,0.907,0.0976,0.7683,0.1341,0.0732,0.3293,0.3659,0.2195,0.0122,0.63,0.21,0.09,0,0.0664,0.0654,0.0461,0.3125,0.3115,0.1639,0.1803,0.1967,0.0843,0.625,0.1325,0.1566,0.1136,0.0952,0.778,0.6874,0.6897,0.8628,0.826,0.627,0.8622,0,0.251,0.6279,1,0.8598,0.0235,1.0397053991,0.997030107,-0.245735308,0.2034546495,-0.348387639,1.2225020015,0.9519053136,-0.93203982,-0.368091007,0.2498060687
860,861,2015,England,Site,400,54,0.135,0.9815,0.8704,0.037,0.6481,0.3148,0.0208,0.4167,0.4375,0.125,0,0.0138,0,0.0139,0.14,0.0632,0.0554,0.0442,0.3962,0.3684,0.2105,0.2105,0.2895,0.0377,0,0.1321,0.1698,0.0417,0.1429,0.815,0.5605,0.4908,0.8623,0.905,0.273,0.8464,0.23,0.217,0.505,0.8182,0.5945,0,-1.309231409,-1.438932247,-0.388434514,-0.955753109,-0.66635854,-0.573415039,0.1907961328,-0.756707963,-0.892571936,-1.684403853
861,862,2015,England,Hospital,763,120,0.1573,0.5333,0.8151,0.0756,0.7143,0.2101,0.0513,0.3419,0.4701,0.1282,0.0085,0.0125,0.49,0.72,0.93,0.0677,0.0653,0.0439,0.2393,0.3776,0.2449,0.2653,0.2857,0.0885,0.6667,0.1215,0.1402,0.087,0.1869,0.75,0.5308,0.3323,0.7606,0.9,0.085,0.752,0.474,0.217,0.4707,0.8159,0.5793,0.0833,-1.925762455,-4.065848123,1.396875071,0.4123116888,-0.979513873,0.1618899192,2.2846048795,0.9612109779,0.6661190617,-0.303416777
862,863,2015,England,Site,707,102,0.1443,0.8824,0.95,0.09,0.75,0.16,0.08,0.24,0.44,0.23,0.01,0.0112,0.41,0.33,0.08,0.0645,0.0582,0.0356,0.3838,0.5246,0.2787,0.3607,0.2951,0.05,0.8333,0.0521,0.0729,0.1143,0.2111,0.883,0.7716,0.6263,0.7785,0.875,0.538,0.9537,0,0.273,0.5847,0.8228,0.646,0.01,-1.997408526,-0.335769451,-1.163314027,1.042433675,-0.016150446,-0.629723332,0.7792019647,1.0659390052,0.5221694056,0.40329528
863,864,2015,England,Hospital,307,67,0.2182,0.8507,0.8636,0.0896,0.7463,0.1642,0.0492,0.2787,0.4426,0.2295,0,0.45,0.27,0.21,0.45,0.0682,0.0669,0.0484,0.3279,0.48,0.4,0.2,0.32,0.0769,0.5,0.0615,0.0615,0.0455,0.1563,1,0.7338,0.6462,0.8216,0.875,0.247,0.8242,0.36,0.192,0.4386,0.9268,0.6151,0.1343,-1.479044565,-0.378636735,-0.162012014,1.2862670392,-0.972853944,0.463713501,0.0936979082,0.1909120015,-0.035677198,-1.532037792
864,865,2015,England,Hospital,220,38,0.1727,0.9211,0.9412,0.1081,0.8108,0.0811,0.0882,0.2941,0.3824,0.2059,0.0294,0.0249,0.58,0.18,0.99,0.0682,0.0692,0.0484,0.2353,0.25,0.25,0,0.25,0.0811,1,0.9459,0.9459,0.0556,0.1714,0.854,0.8501,0.6758,0.7933,0.733,0.346,0.7917,0.053,0.142,0.6079,1,0.6738,0,2.8501658669,-2.504257808,2.0540934236,2.3766306383,2.2694598704,-0.503066671,-0.515198534,-0.217416615,-0.138970829,-0.013574335
865,866,2015,England,Hospital,311,59,0.1897,0.5085,0.7931,0.1724,0.6207,0.2069,0.0357,0.3036,0.4286,0.2321,0,0.0146,0.0237,0.14,0.51,0.067,0.0676,0.0495,0.3571,0.3846,0.1538,0.3333,0.2821,0.283,0.3333,0.3333,0.3725,0.0625,0.1818,0.881,0.4694,0.5211,0.8064,0.815,0.25,0.7106,0.313,0.101,0.4256,0.759,0.4565,0.0339,-1.493991693,-2.084601082,2.1321355235,-0.475564179,-0.482522671,-0.460695175,-0.894577809,0.2438795175,0.1573313051,-1.373614451
866,867,2015,England,Hospital,367,72,0.1962,0.9861,0.8592,0.0845,0.7465,0.169,0.1,0.3,0.4286,0.1714,0,0.58,0.32,0.33,0.35,0.0669,0.0657,0.0468,0.4118,0.2364,0.0727,0.1636,0.1818,0.0588,0.75,0.1538,0.1692,0.0667,0.0441,0.857,0.8025,0.6928,0.8226,0.894,0.556,0.8824,0.194,0.214,0.5825,0.931,0.6313,0.0139,1.7986489438,-0.182068741,0.3328508889,0.1468373017,-0.827257397,0.0109051048,0.446622223,-0.196989467,0.5011282114,0.1946762595
867,868,2015,England,Hospital,606,118,0.1947,0.9492,0.8793,0.0508,0.7373,0.2119,0.0424,0.2373,0.4153,0.2881,0.0169,0.0122,0.28,0.04,0.46,0.0697,0.065,0.05,0.2348,0.3766,0.1558,0.2857,0.1688,0.0593,0.5,0.3051,0.6017,0.0805,0.1685,0.909,0.6128,0.7198,0.712,0.889,0.385,0.8021,0.25,0.177,0.3904,0.8562,0.6004,0,0.1344122967,-1.421939682,1.3116551072,0.2925319739,-0.12022055,0.1088308349,-0.896617957,1.1701077291,-0.876220325,-0.732859651
868,869,2015,England,Hospital,585,107,0.1829,0.9065,0.9223,0.1176,0.6863,0.1961,0.06,0.38,0.42,0.14,0,0.0135,0.62,0.15,0.67,0.0665,0.0649,0.0491,0.5888,0.3976,0.3012,0.2289,0.2169,0.1132,0.9167,0.1887,0.3019,0.0816,0.2178,0.846,0.6558,0.592,0.6442,0.583,0.357,0.812,0.176,0.167,0.642,0.9154,0.6954,0.0283,-0.068469896,-1.701139676,0.7769995734,0.9345721423,0.5623046005,-0.58424148,1.1588996702,-0.160048668,1.1514083507,-0.717116964
869,870,2015,England,Hospital,400,16,0.04,1,1,0.0625,0.9375,0,0.125,0.125,0.4375,0.3125,0,0.0406,0.0175,0.015,0.0263,0.0683,0.0651,0.044,0.1429,0.3333,0.2222,0.2222,0,0.125,0.5,0.1333,0.3333,0,0.2143,0.972,0.6765,0.7274,1,1,0.167,0.8594,0.119,0,0.5176,0.8521,0.7115,0,1.0262471828,-0.32887085,0.0459852668,-0.23738275,-1.291720082,0.6139398054,-0.499457962,0.9002082902,-0.933015164,-0.336855006
870,871,2015,England,Hospital,355,33,0.093,1,0.8485,0.1212,0.8182,0.0606,0.0323,0.3548,0.4194,0.1613,0.0323,0.0494,0.0152,0.0333,0.0176,0.0692,0.0692,0.0459,0.2727,0.2593,0.1852,0.0741,0.1111,0.0909,1,0.2121,0.3939,0.1538,0.2593,0.833,0.9514,0.5208,0.8187,0.774,0.541,0.8792,0.25,0.178,0.4874,0.7235,0.5923,0,1.4679783055,-0.184120442,1.1356784327,-0.879565237,-0.608958265,0.2079504964,-1.445553945,1.6544657633,0.7844083149,0.0106225778
871,872,2015,England,Hospital,164,29,0.1768,0.931,0.5517,0,0.8966,0.1034,0.1071,0.2857,0.4286,0.1786,0,0.0297,0.011,0.66,0.0297,0.07,0.07,0.0432,0.4483,0.25,0.125,0.2083,0.1667,0.069,0,0,0,0.0357,0.2069,0.871,0.4979,0.4638,0.8519,0.857,0.517,0.8979,0.258,0.208,0.3657,0.9123,0.8007,0,0.2656839067,-0.146399054,1.9551966426,-0.088364695,-3.208988413,0.0508578401,0.6062360855,-1.214982424,-0.426038341,-1.318416954
872,873,2015,England,Hospital,323,59,0.1827,0.9661,0.9153,0,0.7119,0.2881,0.0847,0.2373,0.4576,0.1864,0.0339,0.0222,0.47,0.47,0.17,0.0688,0.0635,0.0387,0.2373,0.5102,0.2857,0.3878,0.2653,0.0175,0,0.1864,0.2203,0.0976,0.2549,0.892,0.634,0.578,0.9535,0.5,0.667,0.9118,0.263,0.168,0.7591,0.8957,0.6005,0.0169,-2.12784998,0.4105581386,0.5903838355,1.7396944632,-1.286401524,-0.170705531,0.5442022265,-0.794067615,-0.176433637,0.2760057112
873,874,2015,England,Hospital,750,58,0.0773,0.6034,0.7895,0.0351,0.8246,0.1404,0.0727,0.2727,0.5455,0.0909,0.0182,0.0245,0.0138,0.94,0.0163,0.0687,0.0674,0.0379,0.1346,0.5333,0.0889,0.4667,0.2889,0.0179,0,0.0702,0.0702,0.0625,0.2321,0.765,0.5095,0.4306,0.7565,0.857,0.431,0.9418,0.302,0.231,0.629,0.889,0.622,0,-2.818440298,-1.162225347,0.667642793,0.3599601976,-1.866085307,1.6241443243,1.187148484,-0.247669658,0.0424977127,0.1959607202
874,875,2015,England,Hospital,868,135,0.1555,0.8074,0.903,0.0909,0.7348,0.1742,0.0763,0.3359,0.4046,0.1679,0.0153,0.74,0.21,0.14,0.11,0.0665,0.0622,0.0414,0.291,0.4636,0.2818,0.2909,0.3091,0.0815,0.4167,0.1567,0.2015,0.0879,0.1966,0.636,0.5668,0.4078,0.8095,0.579,0.352,0.7347,0.179,0.139,0.5133,0.7488,0.5393,0.0667,-3.116545556,-1.163343798,0.4961628727,-1.478983396,0.4731465985,1.1517149222,0.5149117433,0.0843649146,-0.318216109,0.1669811694
875,876,2015,England,Hospital,652,100,0.1534,0.96,0.93,0.1327,0.7755,0.0918,0.086,0.3118,0.4301,0.1613,0.0108,0.0159,0.0312,0.34,0.013,0.0653,0.0601,0.0435,0.4886,0.28,0.16,0.1733,0.24,0.1224,0.6,0.5408,0.6837,0.093,0.2135,0.72,0.6275,0.5535,0.6282,0.864,0.556,0.8706,0.269,0.196,0.71,0.7434,0.7104,0.0101,0.7021596299,-1.527895953,0.949005068,-0.418874927,2.0299819329,0.3323111805,-0.362030195,0.1202008702,0.1790091889,-0.402789748
876,877,2015,England,Hospital,450,72,0.16,0.6389,0.8028,0.1268,0.7606,0.1127,0.0429,0.3714,0.4429,0.1143,0.0286,0.0201,0.93,0.52,0.97,0.0686,0.0634,0.0403,0.3521,0.4138,0.3448,0.2414,0.2414,0.058,0.25,0.1304,0.1304,0.04,0.2429,0.903,0.4753,0.5111,0.7464,0.615,0.372,0.8594,0.3,0.158,0.5591,0.825,0.6999,0.0141,-1.578661982,-2.240770415,1.2575146262,1.6331025767,-1.642045275,-1.44070917,1.6008844006,-0.182697089,-0.085190891,-0.031393611
877,878,2015,England,Hospital,348,65,0.1868,1,0.8923,0.0794,0.8413,0.0794,0.0323,0.4194,0.3226,0.1935,0.0323,0.0285,0.0123,0.49,0.49,0.0657,0.0638,0.0475,0.4211,0.5,0.4474,0.1842,0.3684,0.1094,0.7143,0.2373,0.2542,0.1316,0.2308,0.73,0.5538,0.5798,0.7807,0.95,0.497,0.9145,0.333,0.375,0.4879,0.8752,0.6319,0,-1.817761956,-2.136291277,0.4507174619,1.480886983,0.1551532832,-0.088657273,-0.008156677,-0.653084117,0.8564891351,-1.387160597
878,879,2015,England,Hospital,507,71,0.14,0.9718,0.9429,0.1143,0.6857,0.2,0.0435,0.2899,0.4348,0.2319,0,0.0107,0.67,0.2,0.0124,0.0683,0.0637,0.0446,0.3,0.2453,0.1698,0.1509,0.1887,0.0845,0.8333,0.2174,0.2899,0.1449,0.2429,0.913,0.7023,0.6583,1,0.925,0.587,0.9314,0.2,0.184,0.6842,0.901,0.7051,0,1.429656378,-0.055274193,0.5519108294,1.0016133153,-0.618919434,0.294264459,0.9925434459,0.6475916082,-0.356804221,1.1378071619
879,880,2015,England,Site,559,83,0.1485,0.8795,0.7439,0.0366,0.7683,0.1951,0.0625,0.3,0.3875,0.15,0.1,0.0202,0.37,0,0,0.068,0.0669,0.0432,0.2963,0.375,0.1429,0.25,0.2321,0.0244,0,0.038,0.0633,0.0405,0.1974,0.73,0.6755,0.5289,0.7534,0.625,0.556,0.8107,0.395,0.444,0.4247,0.8706,0.6948,0.0122,-1.110970042,-0.058645875,0.6234437126,-0.631618183,-1.93961711,0.4832669312,0.3642631748,-0.270899169,-0.942659643,-0.777834661
880,881,2015,England,Site,1167,199,0.1705,0.9347,0.8711,0.0725,0.6891,0.2383,0.0638,0.3351,0.4149,0.1596,0.0266,0.0188,0.34,0.1,0.1,0.0685,0.0675,0.0407,0.4031,0.3741,0.2446,0.2302,0.2302,0.089,0.7778,0.3693,0.4318,0.1125,0.2749,0.912,0.6548,0.5221,0.6408,1,0.481,0.8277,0.267,0.273,0.597,0.8075,0.6857,0.0558,-0.452400973,-0.488912629,1.0144124109,0.1339749076,1.3602979086,1.4086581032,0.4088570415,1.9481144636,-0.44885414,-0.228370404
881,882,2015,England,Hospital,438,98,0.2237,0.8776,0.9796,0.0842,0.8526,0.0632,0.0825,0.2577,0.4845,0.1753,0,0.56,0.37,0.18,0.12,0.0683,0.0665,0.0484,0.5361,0.4531,0.1406,0.375,0.1875,0.0316,0,0.0842,0.1263,0.1429,0.1807,0.72,0.6056,0.3796,0.837,1,0.231,0.8544,0.119,0.2,0.6332,0.7282,0.5503,0,-1.655954835,-1.931509522,1.1530333237,-0.699195781,-1.350967498,0.9597387603,-0.22303755,-1.193180759,-0.192195818,-0.050519382
882,883,2015,England,Hospital,442,86,0.1946,0.9884,0.9647,0.0814,0.7791,0.1395,0.0698,0.2674,0.3721,0.2442,0.0465,0.018,0.33,0.2,0.34,0.068,0.0642,0.0472,0.5065,0.3333,0.1296,0.2407,0.1852,0.0353,0.5,0.7059,0.7176,0.0845,0.1711,0.846,0.7257,0.6271,0.9152,0.907,0.769,0.883,0.25,0.25,0.6427,0.8972,0.7461,0.0116,1.6475531899,-0.474127196,2.1138847232,1.8723977765,1.4571820714,-0.348492718,-0.236869217,-0.223874493,-0.689084382,-0.43229688
883,884,2015,England,Hospital,309,56,0.1812,0.875,1,0.1273,0.8,0.0727,0.1071,0.3393,0.3214,0.2321,0,0.0121,0.71,0.27,0.07,0.0687,0.0642,0.0369,0.3962,0.375,0.225,0.275,0.325,0.1176,0.6667,0.14,0.22,0.1795,0.2979,0.93,0.8012,0.676,0.8879,0.941,0.5,0.7644,0.182,0.333,0.5974,0.8306,0.5264,0.0179,-0.822132208,-0.353661871,0.1754209504,1.4372968263,-0.822843596,-0.515004451,-0.080216941,0.4457333235,0.3395912974,0.7770854346
884,885,2015,England,Hospital,527,104,0.1973,0.8942,0.8558,0.0962,0.7788,0.125,0.049,0.2941,0.451,0.1765,0.0294,0.013,0.54,0.24,0.07,0.0683,0.0678,0.0397,0.3173,0.4353,0.2471,0.2118,0.2235,0.0769,0.2857,0.1538,0.2308,0.1348,0.3814,0.742,0.6357,0.6703,0.7953,0.826,0.248,0.807,0.214,0.214,0.509,0.7782,0.6281,0.0097,-1.206784134,-1.687514346,0.4854686517,0.1639855823,-1.113005007,0.5645435484,-0.12448714,0.1493804432,-0.411568182,-0.038104892
885,886,2015,England,Hospital,136,42,0.3088,1,0.9756,0.0476,0.9048,0.0476,0.05,0.25,0.4,0.275,0.025,0.0179,0.36,0.89,0,0.0683,0.0678,0.0505,0.1905,0.5161,0.3226,0.3226,0.2903,0.025,0,0,0,0.0488,0.2439,0.92,0.6184,0.5545,0.5727,1,0.48,1,0.364,0.25,0.631,0.7653,0.4467,0,-2.347489343,-1.711860483,-0.061596502,0.9443745914,-3.053358212,0.8218056323,-1.111547894,-0.043359725,0.1733411168,-0.080892524
886,887,2015,England,Hospital,348,71,0.204,0.7183,0.9286,0.1831,0.6197,0.1972,0.0571,0.2429,0.5143,0.1714,0.0143,0.58,0.44,0.25,0.14,0.0679,0.0623,0.0299,0.2143,0.4643,0.0536,0.4464,0.1786,0.1,1,0.3,0.3,0.0758,0.1765,0.881,0.4903,0.3893,0.7546,0.633,0.381,0.744,0.167,0.104,0.453,0.8849,0.6197,0,-1.665260795,-0.417601569,1.4039811576,-0.982040048,0.2222561591,-0.763895787,0.6624321458,-0.332843377,-0.141804593,2.4078870319
887,888,2015,England,Hospital,443,77,0.1738,0.961,0.9211,0.0811,0.7162,0.2027,0.0822,0.2466,0.4795,0.1918,0,0.0316,0.0127,0.29,0.82,0.0689,0.0588,0.0403,0.4507,0.3774,0.2075,0.2453,0.1698,0.0135,0,0.2568,0.2973,0.0548,0.1892,0.81,0.5118,0.6907,0.851,0.75,0.536,0.83,0.103,0.167,0.6431,0.7455,0.6378,0.0263,-0.479081164,-1.298309891,1.0765301125,0.4650051921,-0.645044947,-1.078618224,0.1813842041,-0.260461795,0.5751870859,-1.802101434
888,889,2015,England,Hospital,220,39,0.1773,1,0.9744,0.0769,0.641,0.2821,0.1351,0.2432,0.3514,0.2432,0.027,0.0138,0.87,0.46,0.31,0.0691,0.0681,0.0457,0.4615,0.5,0.2917,0.25,0.2083,0.0769,0,0.0811,0.1622,0.1818,0.25,0.76,0.5072,0.4099,0.6443,0.825,0.347,1,0.174,0.276,0.5668,0.6511,0.6108,0,-2.093530723,-2.827478257,1.6929047595,0.4235700525,-2.27230872,-0.319668589,-0.261907743,-0.611197146,-0.184951056,0.1816798556
889,890,2015,England,Hospital,508,104,0.2047,0.5673,0.8614,0.0777,0.699,0.2233,0.0612,0.3367,0.4898,0.1122,0,0.0106,0.77,0.13,0.34,0.0678,0.0636,0.0399,0.27,0.3372,0.1512,0.2209,0.1628,0.0722,0.5714,0.2755,0.3163,0.1111,0.1771,0.7,0.4298,0.3325,0.66,0.647,0.278,0.7788,0.214,0.168,0.6399,0.8484,0.5912,0.0291,-0.827118963,-2.597733987,1.6560116206,-1.283784535,-0.307402744,0.1910058402,1.6080799724,-0.59614467,-0.254988306,1.0555769597
890,891,2015,England,Hospital,186,57,0.3065,0.7018,0.8393,0.1429,0.625,0.2321,0.0182,0.3273,0.4182,0.2364,0,0.017,0.0105,0.0236,0.0105,0.0681,0.0679,0.0498,0.3818,0.3846,0.2051,0.2821,0.2308,0.1053,0.1667,0.1818,0.2182,0.1136,0.2766,0.714,0.4452,0.3249,0.5753,0.875,0.286,0.921,0.3,0.077,0.3217,0.8665,0.3668,0.0351,-2.044866053,-2.295978472,1.877147422,-2.279208588,-1.296330555,0.7633404501,-0.919416613,-1.217989654,-0.513785645,-1.641744344
891,892,2015,England,Hospital,392,47,0.1199,0.9787,0.8723,0.1489,0.5106,0.3404,0.1111,0.3111,0.3778,0.1778,0.0222,0.0389,0.6,0.85,0.43,0.0678,0.0525,0.0365,0.234,0.2703,0.2432,0.1351,0.2162,0.1739,0.2857,0.413,0.4348,0.0833,0.1795,0.834,0.559,0.4485,0.9046,0.813,0.508,0.8168,0.143,0.167,0.6295,0.9395,0.8727,0.0435,0.5532726971,-1.798494733,0.6188930995,1.6345289287,-0.190048679,-0.788691964,2.4070426214,-0.758382469,-1.347675383,0.4924368349
892,893,2015,England,Hospital,500,71,0.142,1,0.9559,0.0704,0.8028,0.1268,0.1515,0.4091,0.2576,0.1818,0,0.0137,0.69,0.0116,0.2,0.07,0.0677,0.0468,0.381,0.617,0.4043,0.4255,0.4681,0.1014,0.875,0.5,0.5143,0.1429,0.209,0.772,0.5073,0.5479,0.8876,0.952,0.483,0.9288,0.207,0.217,0.8018,0.8322,0.5797,0.0141,-3.232410992,-1.617858037,1.418363568,2.6948282921,1.8011316557,1.2753437123,-0.284255178,-0.481523895,0.6496295836,1.1024330534
893,894,2015,England,Hospital,443,64,0.1445,0.9531,0.9048,0.0476,0.8254,0.127,0.0476,0.4127,0.3016,0.2381,0,0.0263,0.66,0.3,0.38,0.0695,0.0691,0.0448,0.6557,0.2571,0.0286,0.2571,0.2286,0.0952,0.3333,0.2222,0.254,0.0909,0.15,0.727,0.5391,0.4423,0.825,0.333,0.444,0.8007,0.167,0.4,0.468,0.8385,0.7628,0.0313,0.0459378472,-1.257033067,3.1117021178,-0.177962442,-0.994726988,-0.900841276,1.3982908433,-0.936688264,0.3719157452,-0.501222953
894,895,2015,England,Site,382,61,0.1597,1,0.75,0.0667,0.7833,0.15,0.1148,0.1311,0.377,0.3607,0.0164,0.0219,0.57,0.16,0.33,0.0659,0.0636,0.0558,0.377,0.1923,0.0769,0.1538,0.1154,0.0833,1,0.3833,0.5,0.12,0.1698,0.913,0.7967,0.7376,1,0.948,0.571,0.8715,0.041,0.178,0.5273,0.946,0.9094,0,3.4909696105,-0.659574229,0.9994323882,1.7270651745,0.0186505582,-0.605806654,0.7890468335,0.758379586,-0.67633096,0.2901201427
