,bed,no_of_audits,prevalence_diabetes,percentage_white,percentage_emergency,percentage_mangement,percentage_other_medical,percentage_non_medical,dt1,dt2_insulin,dt2_non_insulin,dt2_diet_only,dt_other,nursing_hours,consultant_hours,dietician_hours,podiatrist_hours,blood_glucose_monitoring_days,appropriate_days,good_diabetes_days,visit_by_specialist_diabetes_team,medication_errors,prescription_errors,management_errors,insulin_errors,admitted_with_foot disease,seen_by_mdft_within_24_hours,foot_risk_assessment_within_24_hours,foot_risk_assessment_within_stay,severe_hypo,minor_hypo,meals_suitable,meals_timing,meals_choice,staff_knowledge_q&a,staff_knowledge_eq,staff_knowledge_collective,overall_satisfaction,patient_reported _unexpected_high,patient_reported_unexpected_low,able_to_take_control_of_care,staff_aware_diabetes,some_or_most_staff_aware_diabetes,renal_replacement
83,842.0,150.0,0.18,0.77,0.85,0.03,0.77,0.2,0.04,0.37,0.51,0.03,0.05,0.74,0.07,0.14748962149921782,0.01,6.97,6.88,4.45,0.28,0.5329999999999999,0.311,0.434,0.27,0.096,0.455,0.684,0.452,0.16,0.34700000000000003,0.871,0.6859999999999999,0.614,0.525,0.894,0.517,0.865,0.301,0.355,0.5479999999999999,0.821,0.667,0.040999999999999995
84,499.0,77.0,0.15,0.93,0.86,0.13,0.64,0.23,0.11,0.28,0.49,0.13,0.0,1.1,0.05782368196963002,0.13,0.05,6.85,6.57,4.86,0.386,0.19399999999999998,0.113,0.09699999999999999,0.113,0.07400000000000001,1.0,0.855,0.366,0.091,0.28600000000000003,0.9520000000000001,0.8540000000000001,0.718,0.55,0.75,0.595,0.833,0.233,0.419,0.55,0.841,0.5710000000000001,0.0
85,357.0,54.0,0.15,1.0,1.0,0.08,0.74,0.19,0.04,0.3,0.43,0.21,0.02,0.28,0.11,0.3041532932365022,0.07,6.59,6.33,4.2,0.132,0.353,0.235,0.196,0.21600000000000003,0.17600000000000002,0.0,0.255,0.24600000000000002,0.09300000000000001,0.29600000000000004,0.826,0.7390000000000001,0.826,0.615,0.9229999999999999,0.261,0.875,0.125,0.125,0.792,0.875,0.609,0.0
86,1427.0,197.0,0.14,0.81,0.8,0.1,0.65,0.25,0.08,0.37,0.4,0.14,0.02,0.19,0.1,0.08,0.07,6.63,6.41,3.84,0.18899999999999997,0.278,0.107,0.207,0.142,0.063,0.667,0.28800000000000003,0.358,0.051,0.147,0.92,0.733,0.727,0.636,0.865,0.45299999999999996,0.792,0.235,0.235,0.75,0.868,0.6729999999999999,0.011000000000000001
87,462.0,58.0,0.13,1.0,0.83,0.07,0.5,0.43,0.03,0.24,0.43,0.29,0.0,0.47,0.29,0.11308638535683056,0.17,6.43,6.03,4.62,0.161,0.14800000000000002,0.111,0.055999999999999994,0.037000000000000005,0.105,1.0,0.214,0.24600000000000002,0.017,0.207,0.889,0.6,0.5329999999999999,0.636,0.5,0.47100000000000003,0.941,0.111,0.16699999999999998,0.615,0.9440000000000001,0.706,0.0
88,997.0,137.0,0.14,0.74,0.77,0.07,0.65,0.28,0.08,0.42,0.31,0.16,0.03,0.64,0.25,0.33830683870923545,0.05,6.64,6.2,3.51,0.27699999999999997,0.309,0.195,0.171,0.22,0.055,0.7140000000000001,0.07,0.115,0.109,0.161,0.8240000000000001,0.733,0.625,0.5429999999999999,0.8440000000000001,0.41200000000000003,0.902,0.32,0.28,0.667,0.8490000000000001,0.519,0.162
89,1440.0,169.0,0.12,0.96,0.58,0.08,0.51,0.42,0.07,0.36,0.25,0.27,0.06,0.31,0.13,0.04,0.17,6.74,6.11,4.02,0.33299999999999996,0.25,0.191,0.099,0.21100000000000002,0.07,0.7,0.345,0.205,0.107,0.18899999999999997,0.846,0.833,0.736,0.8,0.925,0.632,0.9470000000000001,0.299,0.218,0.8140000000000001,0.925,0.802,0.084
90,824.0,112.0,0.14,0.94,0.84,0.12,0.72,0.17,0.07,0.37,0.39,0.17,0.01,0.22,0.22,0.19,0.05,6.22,5.66,2.96,0.171,0.433,0.311,0.289,0.278,0.08,0.6,0.055999999999999994,0.0,0.08,0.14300000000000002,0.9229999999999999,0.7859999999999999,0.7140000000000001,0.429,0.833,0.5,0.929,0.308,0.308,0.583,0.857,0.6920000000000001,0.0
91,698.0,96.0,0.14,1.0,0.85,0.01,0.73,0.26,0.08,0.24,0.38,0.28,0.01,0.52,0.09,0.09,0.11,6.67,6.48,5.16,0.133,0.18100000000000002,0.096,0.096,0.145,0.027999999999999997,0.0,0.349,0.027999999999999997,0.031,0.156,0.87,0.7909999999999999,0.7070000000000001,0.722,0.9059999999999999,0.63,0.909,0.182,0.159,0.821,0.8909999999999999,0.696,0.0
92,782.0,131.0,0.17,0.92,0.89,0.1,0.66,0.24,0.05,0.32,0.42,0.18,0.02,0.29,0.13,0.03,0.08,6.44,6.01,4.11,0.17800000000000002,0.304,0.23199999999999998,0.152,0.152,0.157,0.375,0.127,0.133,0.115,0.198,0.863,0.8420000000000001,0.8420000000000001,0.575,0.857,0.436,0.848,0.207,0.293,0.74,0.866,0.684,0.047
93,210.0,29.0,0.14,0.86,0.66,0.17,0.45,0.38,0.24,0.31,0.35,0.1,0.0,0.93,0.14,1.38,0.41,6.43,6.15,2.97,0.321,0.39299999999999996,0.25,0.214,0.28600000000000003,0.077,1.0,0.292,0.26899999999999996,0.276,0.483,0.833,0.722,0.6,0.9,0.8,0.556,0.889,0.41200000000000003,0.41200000000000003,0.765,0.9440000000000001,0.833,0.172
94,170.0,19.0,0.11,0.95,0.9,0.0,0.79,0.21,0.05,0.68,0.16,0.11,0.0,0.97,1.671215105289123,0.97,0.42,7.0,6.6,2.64,0.055999999999999994,0.21100000000000002,0.158,0.105,0.158,0.083,1.0,0.583,0.455,0.053,0.105,0.909,0.41700000000000004,0.455,0.0,1.0,0.182,0.909,0.1,0.0,0.7140000000000001,0.833,0.727,0.0
95,558.0,65.0,0.12,0.96,0.79,0.08,0.75,0.17,0.06,0.25,0.62,0.06,0.02,1.25,0.25,0.14479925015572864,0.34,6.89,6.56,3.32,0.2,0.413,0.317,0.254,0.254,0.102,0.8,0.228,0.233,0.154,0.308,0.857,0.769,0.636,0.75,0.8,0.433,0.833,0.35700000000000004,0.39299999999999996,0.625,0.7929999999999999,0.5,0.0
96,360.0,49.0,0.14,0.98,0.94,0.14,0.63,0.22,0.02,0.3,0.5,0.15,0.02,3.02,0.49,0.08,0.04,6.86,6.03,3.74,0.5,0.37799999999999995,0.27,0.135,0.21600000000000003,0.226,0.5,0.26899999999999996,0.28,0.061,0.14300000000000002,0.529,0.667,0.667,0.28600000000000003,0.846,0.28600000000000003,0.9520000000000001,0.474,0.316,0.588,0.9,0.55,0.0
97,120.0,19.0,0.16,0.95,0.63,0.0,0.58,0.42,0.06,0.39,0.5,0.06,0.0,0.16,1.8650780415153256,0.21,0.6883259370805113,7.0,6.25,3.67,0.28600000000000003,0.2,0.0,0.2,0.2,0.0,1.0000000223529368,0.0,0.563,0.0,0.316,0.7,1.0,0.778,0.75,0.9,0.5,0.9,0.3,0.3,0.7140000000000001,0.8,0.4,0.0
98,473.0,68.0,0.14,0.9,0.88,0.09,0.67,0.24,0.1,0.24,0.33,0.31,0.02,0.44,0.15,0.07,0.15,6.54,6.03,3.84,0.22399999999999998,0.317,0.127,0.23800000000000002,0.222,0.2,0.2,0.35700000000000004,0.149,0.11800000000000001,0.162,0.848,0.765,0.706,0.5,0.7829999999999999,0.485,0.727,0.41200000000000003,0.20600000000000002,0.563,0.912,0.706,0.0
99,122.0,17.0,0.14,1.0,0.65,0.07,0.33,0.6,0.0,0.53,0.24,0.24,0.0,1.12,1.88,0.12,0.5080672056200269,7.0,6.5,4.35,0.625,0.267,0.0,0.267,0.267,0.2,1.0,0.6920000000000001,0.278,0.0,0.11800000000000001,1.0,1.0,1.0,0.75,1.0,0.615,0.846,0.25,0.16699999999999998,0.909,0.9229999999999999,0.769,0.059000000000000004
100,750.0,106.0,0.14,0.95,0.79,0.08,0.64,0.29,0.11,0.33,0.4,0.17,0.0,0.59,0.28,0.03,0.16929561418616224,6.65,6.52,4.0,0.302,0.316,0.19399999999999998,0.184,0.255,0.121,0.5,0.14400000000000002,0.23199999999999998,0.085,0.20800000000000002,0.9129999999999999,0.9420000000000001,0.853,0.7909999999999999,0.922,0.648,0.9440000000000001,0.33799999999999997,0.225,0.6759999999999999,0.9440000000000001,0.746,0.077
101,396.0,66.0,0.17,0.99,0.94,0.06,0.64,0.3,0.14,0.3,0.27,0.27,0.02,0.8531570030265916,0.2,0.42,0.05,6.87,6.73,4.34,0.28600000000000003,0.273,0.2,0.145,0.2,0.039,1.0,0.04,0.245,0.03,0.16699999999999998,0.929,0.852,0.7859999999999999,0.7859999999999999,1.0,0.5670000000000001,0.833,0.16699999999999998,0.067,0.5379999999999999,1.0,0.767,0.0
